gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2980853876	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63988677	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.343514	-85.338836	31.0						2020-02-16T07:42	16	2	2020	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	63988677		Roberto Vargas	2020-11-01T20:37:50	CC_BY_NC_4_0	Roberto Vargas	Roberto Vargas			2024-04-21T18:25:49.894Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2963886179	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63782595	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.593852	-83.099112	64.0						2018-01-20T11:02	20	1	2018	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	63782595		f_fleming-ochoverde	2020-10-29T20:25:25	CC_BY_NC_4_0	f_fleming-ochoverde	f_fleming-ochoverde			2024-04-21T17:44:47.122Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2864873641	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/59653069	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.970516	-83.997759	33.0						2020-09-14T22:42	14	9	2020	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	59653069		Eduardo A. Bolaños Vargas	2020-09-15T04:43:17	CC_BY_4_0	Eduardo A. Bolaños Vargas	Eduardo A. Bolaños Vargas			2024-04-21T17:18:52.519Z	Sound	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2856866481	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57708000	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.834463	-85.613263	30.0						2018-10-11T11:00:41	11	10	2018	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	57708000		Federico A. Chinchilla Romero	2020-08-27T04:58:23	CC_BY_NC_4_0	Federico A. Chinchilla Romero	Federico A. Chinchilla Romero			2024-04-21T18:25:20.786Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2576435572	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39358500	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Heredia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.17608	-84.14135	5.0						2020-02-18T07:52:18	18	2	2020	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	39358500		jeremy_petrusma	2020-02-29T17:05:33	CC_BY_NC_4_0	jeremy_petrusma	jeremy_petrusma			2024-04-21T17:42:57.658Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2574082678	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38509857	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.016857	-84.478864	15.0						2020-02-07T07:42	7	2	2020	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	38509857		Arthur de Jesús Chavarría Pérez	2020-02-10T17:52:02	CC_BY_4_0	Arthur de Jesús Chavarría Pérez	Arthur de Jesús Chavarría Pérez			2024-04-21T17:16:34.304Z	Sound	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2550105507	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37248918	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.014846	-84.484197	68.0						2020-01-03T20:26:02	3	1	2020	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	37248918		Arthur de Jesús Chavarría Pérez	2020-01-04T02:28:40	CC_BY_4_0	Arthur de Jesús Chavarría Pérez	Arthur de Jesús Chavarría Pérez			2024-04-21T17:16:24.392Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2429589781	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34364722	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.895354	-83.653668	4.0						2019-10-02T17:55	2	10	2019	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	34364722		Gera Guzman	2019-10-14T16:23:43	CC_BY_NC_4_0	Gera Guzman	Gera Guzman			2024-04-21T17:16:03.373Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2242797004	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24340713	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.894751	-83.654542	44.0						2019-05-01T20:47:27	1	5	2019	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	24340713		Stefan Dominik Brändel	2019-05-04T13:28:47	CC_BY_NC_4_0	leninc1962	leninc1962			2024-04-21T17:14:48.685Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1065344284	7a25f7aa-03fb-4322-aaeb-66719e1a9527	23204158-1674-40e5-9a5f-8621f5697b14	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans	dickeyi	SUBSPECIES	Canis latrans dickeyi Nelson, 1932	Canis latrans dickeyi	Nelson, 1932	CR	Finca La Pacifica	Guanacaste Prov	PRESENT		493fe050-055d-11d8-b84f-b8a03c50a862	10.4677718	-85.1330798	4644.0						1967-07-11	11	7	1967	6164225	5219153	PRESERVED_SPECIMEN	LACM	Mammals	28784	RWM 013			CC0_1_0		McDiarmid, R W		native	2024-04-29T09:44:03.620Z		COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
